COUNTRY, CODE, GROSS DOMESTIC PRODUCT
Argentina,AR,MKTGDPARA646NWDB
Australia,AU,MKTGDPAUA646NWDB
Belgium,BE,MKTGDPBEA646NWDB
Brazil,BR,MKTGDPBRA646NWDB
Canada,CA,MKTGDPCAA646NWDB
China,CN,MKTGDPCNA646NWDB
France,FR,MKTGDPFRA646NWDB
Germany,GM,MKTGDPDEA646NWDB
India,IN,MKTGDPINA646NWDB
Italy,IT,MKTGDPITA646NWDB
Japan,JP,MKTGDPJPA646NWDB
Mexico,MX,MKTGDPMXA646NWDB
Netherlands,NL,MKTGDPNLA646NWDB
Portugal,PT,MKTGDPPTA646NWDB
Spain,SP,MKTGDPESA646NWDB
Sri Lanka,SL,MKTGDPLKA646NWDB
Sweden,SW,MKTGDPSEA646NWDB
Switzerland,ST,MKTGDPCHA646NWDB
United Kingdom,UK,MKTGDPGBA646NWDB
United States,US,MKTGDPUSA646NWDB
